Univ_ID,Student_ID,Course_ID,Sem_ID,Status,Grade
8,112000012,12,113Spring,W,0
21,112000012,8,113Spring,W,0
7,112000012,14,113Fall,P,98
9,112000012,9,111Spring,F,53
22,112000013,5,112Fall,W,0
16,112000013,12,112Fall,P,60
10,112000013,8,113Fall,W,0
2,112000013,14,113Spring,P,85
18,112000013,9,113Fall,F,6
2,112000014,5,112Fall,P,72
15,112000014,12,112Spring,F,11
15,112000014,8,111Spring,P,97
18,112000014,14,111Spring,F,49
13,112000014,9,112Fall,F,12
8,112000015,1,112Spring,P,80
15,112000015,4,113Spring,W,0
24,112000015,11,111Fall,W,0
22,112000015,16,111Fall,F,58
1,112000015,9,111Fall,F,30
20,112000016,17,113Spring,F,54
13,112000016,18,112Spring,F,46
15,112000016,16,111Fall,P,83
13,112000016,1,111Fall,W,0
19,112000016,13,113Fall,W,0
2,112000017,2,112Spring,P,90
24,112000017,3,111Fall,F,5
21,112000017,6,112Fall,W,0
19,112000017,7,113Spring,F,31
15,112000017,8,113Fall,W,0
15,112000018,17,113Spring,W,0
16,112000018,18,112Spring,F,50
16,112000018,16,111Fall,W,0
22,112000018,1,113Spring,F,34
11,112000018,13,113Spring,F,27
7,112000019,1,113Fall,P,84
17,112000019,4,113Spring,W,0
10,112000019,11,112Fall,F,3
21,112000019,16,111Fall,W,0
0,112000019,9,113Fall,F,40
20,112000020,1,113Fall,F,8
18,112000020,4,112Fall,W,0
22,112000020,11,112Spring,F,13
18,112000020,16,111Spring,W,0
18,112000020,9,113Fall,F,0
1,112000021,1,111Fall,F,13
9,112000021,4,111Fall,P,64
12,112000021,11,111Spring,F,28
17,112000021,16,112Fall,W,0
19,112000021,9,113Spring,P,85
17,112000022,2,112Fall,P,78
22,112000022,3,111Spring,W,0
20,112000022,6,113Fall,W,0
20,112000022,7,112Fall,F,59
5,112000022,8,112Spring,W,0
9,112000023,1,111Spring,P,77
3,112000023,4,112Fall,P,94
0,112000023,11,113Fall,F,22
3,112000023,16,113Fall,P,75
14,112000023,9,112Spring,F,30
23,112000024,17,112Fall,W,0
11,112000024,18,111Fall,F,42
5,112000024,16,111Spring,P,96
6,112000024,1,112Spring,P,79
12,112000024,13,112Fall,W,0
9,112000025,5,112Spring,W,0
9,112000025,12,113Fall,W,0
6,112000025,8,113Spring,F,11
15,112000025,14,113Fall,P,88
10,112000025,9,112Spring,F,49
0,112000026,5,112Spring,W,0
8,112000026,12,113Spring,W,0
5,112000026,8,112Fall,W,0
16,112000026,14,111Spring,P,68
17,112000026,9,113Spring,P,79
1,112000027,2,111Fall,P,80
0,112000027,3,111Fall,P,79
9,112000027,6,113Fall,F,21
20,112000027,7,113Fall,W,0
7,112000027,8,113Fall,F,28
16,112000028,5,112Fall,F,0
20,112000028,12,111Spring,F,5
10,112000028,8,112Spring,W,0
0,112000028,14,113Spring,F,14
7,112000028,9,111Fall,F,0
21,112000029,1,111Spring,W,0
2,112000029,4,112Fall,P,63
5,112000029,11,113Fall,W,0
14,112000029,16,111Spring,F,16
1,112000029,9,113Spring,W,0
10,112000030,1,112Spring,P,82
21,112000030,4,112Fall,F,8
19,112000030,11,111Fall,P,76
9,112000030,16,113Fall,W,0
21,112000030,9,111Spring,W,0
4,112000031,2,113Fall,F,2
8,112000031,3,111Fall,F,9
15,112000031,6,111Fall,P,99
13,112000031,7,111Spring,F,40
11,112000031,8,111Spring,P,64
22,112000032,17,112Spring,F,18
8,112000032,18,112Fall,W,0
9,112000032,16,112Spring,W,0
8,112000032,1,111Fall,F,5
2,112000032,13,113Fall,W,0
2,112000033,17,112Spring,P,91
8,112000033,18,111Spring,P,84
7,112000033,16,111Fall,F,42
13,112000033,1,111Spring,W,0
7,112000033,13,111Fall,W,0
19,112000034,17,112Spring,W,0
23,112000034,18,113Fall,P,75
4,112000034,16,112Fall,P,97
20,112000034,1,112Fall,P,71
8,112000034,13,111Fall,P,96
23,112000035,5,111Spring,F,12
24,112000035,12,112Spring,P,65
16,112000035,8,112Spring,P,69
22,112000035,14,113Fall,F,43
2,112000035,9,111Spring,F,38
14,112000036,1,113Fall,W,0
13,112000036,4,112Fall,F,0
5,112000036,11,113Fall,P,74
3,112000036,16,113Spring,F,47
17,112000036,9,111Spring,P,64
15,112000037,5,111Fall,F,23
11,112000037,12,113Fall,P,90
16,112000037,8,111Spring,F,44
1,112000037,14,112Spring,P,80
14,112000037,9,111Fall,W,0
2,112000038,5,113Spring,F,5
15,112000038,12,112Fall,F,16
17,112000038,8,111Fall,P,70
22,112000038,14,113Fall,W,0
23,112000038,9,113Spring,W,0
22,112000039,17,113Fall,W,0
5,112000039,18,113Fall,F,1
0,112000039,16,113Spring,W,0
19,112000039,1,113Fall,P,63
20,112000039,13,113Fall,F,39
1,112000040,1,113Fall,F,0
9,112000040,4,111Spring,P,85
24,112000040,11,112Fall,F,22
18,112000040,16,113Spring,W,0
18,112000040,9,112Spring,P,65
8,112000041,5,113Fall,F,35
11,112000041,12,113Fall,F,28
9,112000041,8,113Spring,P,70
16,112000041,14,112Spring,P,89
9,112000041,9,111Fall,F,31
1,112000042,2,111Fall,P,94
14,112000042,3,111Fall,F,8
6,112000042,6,112Fall,F,48
16,112000042,7,112Fall,F,26
4,112000042,8,112Fall,P,99
22,112000043,17,112Fall,P,68
21,112000043,18,113Spring,W,0
7,112000043,16,111Spring,F,6
23,112000043,1,111Fall,F,27
1,112000043,13,112Fall,P,66
7,112000044,17,112Spring,P,82
14,112000044,18,112Fall,P,75
2,112000044,16,112Spring,W,0
24,112000044,1,112Spring,W,0
9,112000044,13,113Fall,F,25
2,112000045,5,111Fall,P,79
6,112000045,12,111Fall,F,8
1,112000045,8,112Spring,W,0
21,112000045,14,111Spring,P,64
3,112000045,9,113Spring,P,71
18,112000046,17,112Fall,P,93
19,112000046,18,112Spring,P,93
18,112000046,16,111Fall,W,0
13,112000046,1,111Fall,F,24
14,112000046,13,111Spring,W,0
5,112000047,5,111Spring,P,95
9,112000047,12,111Spring,W,0
23,112000047,8,113Spring,P,63
5,112000047,14,111Fall,F,24
14,112000047,9,112Spring,P,65
24,112000048,1,112Spring,W,0
19,112000048,4,112Spring,F,33
6,112000048,11,112Fall,F,38
1,112000048,16,112Fall,F,20
21,112000048,9,111Fall,W,0
6,112000049,2,112Fall,F,12
5,112000049,3,112Spring,F,22
15,112000049,6,111Fall,W,0
18,112000049,7,111Spring,F,24
13,112000049,8,112Spring,P,99
13,112000050,17,113Spring,F,25
9,112000050,18,112Spring,W,0
11,112000050,16,113Fall,P,68
3,112000050,1,111Fall,P,96
6,112000050,13,111Fall,W,0
24,112000051,5,113Spring,P,98
11,112000051,12,113Fall,P,76
5,112000051,8,112Fall,F,2
2,112000051,14,111Spring,W,0
14,112000051,9,111Fall,W,0
24,112000052,1,113Spring,W,0
10,112000052,4,111Spring,F,11
9,112000052,11,111Spring,F,56
15,112000052,16,113Fall,P,64
17,112000052,9,113Spring,P,69
15,112000053,2,113Spring,W,0
20,112000053,3,111Spring,F,32
6,112000053,6,113Fall,W,0
6,112000053,7,111Fall,F,9
3,112000053,8,113Fall,F,2
8,112000054,1,113Fall,F,40
0,112000054,4,111Fall,F,51
24,112000054,11,112Fall,W,0
15,112000054,16,112Spring,F,26
1,112000054,9,113Spring,W,0
7,112000055,2,113Fall,P,71
5,112000055,3,113Fall,W,0
17,112000055,6,111Fall,F,58
6,112000055,7,111Fall,F,48
18,112000055,8,113Fall,W,0
18,112000056,2,112Spring,W,0
11,112000056,3,111Spring,P,79
18,112000056,6,113Spring,F,54
6,112000056,7,112Fall,W,0
18,112000056,8,113Fall,F,9
18,112000057,17,113Fall,P,69
0,112000057,18,111Fall,F,34
19,112000057,16,112Spring,P,96
23,112000057,1,113Spring,F,7
24,112000057,13,111Fall,W,0
14,112000058,17,111Fall,P,84
22,112000058,18,111Spring,F,3
17,112000058,16,112Fall,F,0
17,112000058,1,113Fall,F,43
18,112000058,13,113Spring,W,0
3,112000059,1,112Spring,F,5
19,112000059,4,113Fall,F,14
6,112000059,11,113Fall,W,0
15,112000059,16,113Spring,P,95
0,112000059,9,113Spring,F,40
17,112000060,17,111Spring,W,0
14,112000060,18,112Fall,P,60
14,112000060,16,112Fall,P,84
2,112000060,1,113Fall,W,0
16,112000060,13,112Fall,P,80
13,112000061,1,111Spring,F,54
1,112000061,4,113Spring,W,0
5,112000061,11,113Spring,P,77
13,112000061,16,113Spring,F,34
21,112000061,9,113Fall,W,0
3,112000062,5,113Fall,W,0
13,112000062,12,111Fall,P,77
12,112000062,8,112Fall,F,17
14,112000062,14,112Fall,P,98
15,112000062,9,113Spring,P,60
16,112000063,1,111Fall,P,63
20,112000063,4,113Spring,F,56
17,112000063,11,111Fall,P,74
12,112000063,16,111Fall,F,42
3,112000063,9,111Fall,F,16
13,112000064,2,113Fall,F,31
4,112000064,3,111Fall,P,91
9,112000064,6,113Fall,F,49
11,112000064,7,111Spring,F,35
17,112000064,8,112Spring,F,24
12,112000065,17,112Fall,P,76
2,112000065,18,112Fall,F,42
14,112000065,16,112Spring,F,48
1,112000065,1,112Spring,F,9
11,112000065,13,112Fall,P,66
16,112000066,5,113Fall,P,86
23,112000066,12,112Spring,W,0
4,112000066,8,113Fall,F,19
22,112000066,14,113Spring,P,87
6,112000066,9,113Spring,W,0
14,112000067,5,113Fall,W,0
13,112000067,12,111Spring,W,0
15,112000067,8,112Spring,P,99
5,112000067,14,113Spring,F,30
8,112000067,9,111Fall,P,78
21,112000068,2,112Fall,W,0
19,112000068,3,111Fall,W,0
21,112000068,6,112Spring,W,0
13,112000068,7,113Spring,W,0
23,112000068,8,112Fall,W,0
20,112000069,17,112Spring,F,16
18,112000069,18,113Spring,F,46
18,112000069,16,113Fall,P,80
8,112000069,1,113Spring,F,0
17,112000069,13,112Spring,F,35
3,112000070,5,111Spring,P,76
20,112000070,12,113Spring,W,0
19,112000070,8,111Fall,F,45
8,112000070,14,113Fall,P,94
13,112000070,9,113Spring,W,0
14,112000071,5,111Spring,W,0
20,112000071,12,112Fall,P,71
17,112000071,8,111Spring,W,0
22,112000071,14,111Spring,F,54
16,112000071,9,112Fall,F,15
12,112000072,5,112Spring,F,25
8,112000072,12,113Spring,W,0
16,112000072,8,113Spring,W,0
20,112000072,14,112Fall,P,99
22,112000072,9,112Spring,W,0
11,112000073,5,112Spring,F,14
0,112000073,12,113Spring,F,17
19,112000073,8,112Spring,F,47
23,112000073,14,112Fall,F,57
14,112000073,9,112Spring,F,10
14,112000074,1,113Fall,P,78
8,112000074,4,112Fall,F,15
23,112000074,11,111Fall,F,13
22,112000074,16,111Spring,P,81
21,112000074,9,112Spring,P,88
14,112000075,1,113Fall,F,58
2,112000075,4,111Fall,W,0
23,112000075,11,113Spring,F,40
23,112000075,16,112Fall,P,98
13,112000075,9,112Spring,W,0
6,112000076,1,113Fall,W,0
6,112000076,4,112Spring,W,0
15,112000076,11,111Spring,F,24
20,112000076,16,113Spring,F,27
11,112000076,9,113Spring,P,84
9,112000077,5,113Fall,F,0
17,112000077,12,112Spring,W,0
17,112000077,8,112Fall,F,36
15,112000077,14,111Fall,W,0
8,112000077,9,113Spring,P,61
12,112000078,1,112Spring,W,0
24,112000078,4,112Fall,F,12
18,112000078,11,111Fall,P,67
9,112000078,16,112Spring,P,61
8,112000078,9,111Fall,W,0
12,112000079,2,111Fall,P,62
13,112000079,3,113Fall,F,21
18,112000079,6,112Fall,W,0
5,112000079,7,111Spring,W,0
24,112000079,8,111Fall,W,0
0,112000080,5,112Spring,W,0
20,112000080,12,113Fall,W,0
12,112000080,8,113Spring,W,0
17,112000080,14,113Fall,F,19
13,112000080,9,112Fall,F,40
1,112000081,17,112Fall,F,4
7,112000081,18,112Spring,P,92
1,112000081,16,113Spring,W,0
4,112000081,1,112Fall,W,0
20,112000081,13,112Fall,W,0
14,112000082,5,111Fall,W,0
16,112000082,12,111Spring,P,73
13,112000082,8,113Spring,P,63
7,112000082,14,113Spring,F,53
15,112000082,9,112Fall,W,0
18,112000083,1,113Spring,F,15
22,112000083,4,112Spring,P,62
22,112000083,11,111Fall,P,85
19,112000083,16,113Spring,F,3
23,112000083,9,113Fall,P,71
7,112000084,1,113Spring,F,59
6,112000084,4,111Spring,W,0
0,112000084,11,113Spring,P,91
20,112000084,16,111Fall,W,0
9,112000084,9,112Fall,F,6
19,112000085,1,113Fall,W,0
1,112000085,4,112Fall,W,0
18,112000085,11,113Fall,F,5
12,112000085,16,112Spring,W,0
7,112000085,9,113Spring,W,0
9,112000086,17,113Fall,F,34
10,112000086,18,111Fall,P,84
18,112000086,16,113Spring,P,83
8,112000086,1,112Fall,P,64
17,112000086,13,113Spring,W,0
0,112000087,1,112Fall,F,9
18,112000087,4,113Spring,F,57
18,112000087,11,113Fall,F,16
0,112000087,16,113Spring,W,0
8,112000087,9,112Fall,P,63
9,112000088,2,112Fall,P,71
18,112000088,3,113Spring,W,0
22,112000088,6,113Spring,F,46
3,112000088,7,111Spring,P,91
24,112000088,8,113Fall,F,54
9,112000089,1,113Fall,F,20
22,112000089,4,113Spring,W,0
1,112000089,11,113Spring,F,38
13,112000089,16,111Fall,F,56
7,112000089,9,111Fall,W,0
15,112000090,17,113Fall,W,0
23,112000090,18,113Fall,W,0
24,112000090,16,112Fall,W,0
22,112000090,1,113Spring,W,0
6,112000090,13,111Fall,W,0
21,112000091,5,113Spring,W,0
14,112000091,12,113Spring,W,0
8,112000091,8,112Fall,W,0
20,112000091,14,113Fall,F,4
21,112000091,9,113Spring,F,34
13,112000092,5,111Spring,F,1
20,112000092,12,112Fall,W,0
10,112000092,8,111Fall,F,29
8,112000092,14,112Fall,P,73
10,112000092,9,112Fall,W,0
1,112000093,2,112Spring,P,93
20,112000093,3,112Spring,P,61
11,112000093,6,111Spring,F,16
18,112000093,7,113Spring,P,93
21,112000093,8,113Fall,F,19
11,112000094,17,113Fall,F,39
7,112000094,18,113Spring,W,0
4,112000094,16,111Spring,W,0
15,112000094,1,111Fall,F,6
0,112000094,13,113Fall,F,0
13,112000095,17,111Fall,P,66
11,112000095,18,113Fall,P,81
19,112000095,16,111Spring,P,83
24,112000095,1,112Fall,F,33
6,112000095,13,113Spring,W,0
18,112000096,1,113Spring,P,70
2,112000096,4,113Fall,W,0
1,112000096,11,112Fall,F,32
22,112000096,16,112Spring,F,58
17,112000096,9,111Spring,W,0
14,112000097,2,111Fall,F,55
6,112000097,3,111Fall,W,0
1,112000097,6,111Fall,W,0
19,112000097,7,111Fall,W,0
1,112000097,8,111Fall,P,95
21,112000098,1,113Spring,P,97
18,112000098,4,112Fall,W,0
20,112000098,11,112Fall,P,65
21,112000098,16,111Spring,P,93
10,112000098,9,111Fall,F,6
4,112000099,17,113Fall,F,53
5,112000099,18,112Fall,P,64
3,112000099,16,111Fall,F,8
15,112000099,1,113Spring,W,0
22,112000099,13,113Spring,P,99
21,112000100,1,113Spring,P,97
18,112000100,4,112Fall,W,0
20,112000100,11,112Fall,P,65
21,112000100,16,111Spring,P,93
10,112000100,9,111Fall,F,6
